name, yr2011_12, pfi, postcode,population,averageAge,unemploymentRate,averageIncomeWeekly,eduPrimary,eduSecondary,eduTertiery,CrimeTweetCount,PoliceReportLoged,population loged,incomeLoged,tweetCountLoged
Melbourne City,18561,205410007,3000,20627,26,11,545,1.2,2.9,63.6,3872,14.17998682,14.33224639,9.09011242,11.17804233
East Melbourne,816,205410307,3002,4714,36,3.5,1164,5.8,5.5,41.8,588,9.672425342,12.20273604,10.18487534,8.285402219
West Melbourne,441,205410013,3003,3744,30,6,800,5,4.9,37.6,151,8.784634846,11.87036472,9.64385619,6.426264755
null,0,206691536,3004,7737,34,4.4,1103,6.1,6.9,46.3,614,#NUM!,12.91755856,10.10721708,8.741466986
Southbank,1729,205410296,3006,11302,29,5.8,988,2.9,4.7,52.8,829,10.75572215,13.46429047,9.948367232,8.939579214
Docklands,838,205410229,3008,5096,31,5,1062,2.7,5,38.5,682,9.710806434,12.31514956,10.05256805,8.581200582
Footscray,3232,205410085,3011,18053,33,7.5,557,11.9,9.3,36.9,300,11.65821148,14.13995098,9.121533517,7.400879436
Footscray West-Maidstone,1945,205410052,3012,23127,34,7.6,546,17.8,13.7,29.6,299,10.92555444,14.49729051,9.092757141,7.54689446
Yarraville,964,205410047,3013,13747,36,4.3,767,25.4,15.8,27.1,181,9.912889336,13.74682919,9.583082768,6.781359714
Newport-Spotswood,1068,205410073,3015,16157,36,4.3,761,23.9,18.7,23.9,86,10.06069593,13.97987173,9.571752644,5.672425342
Williamstown,1177,205410046,3016,14747,41,4.4,753,28.6,24.2,21.8,222,10.20089861,13.84813387,9.556506055,6.442943496
Altona,983,205409640,3018,11779,42,5.2,573,24.5,18.4,23.2,152,9.941047606,13.52392944,9.162391329,6.64385619
Braybrook,1078,205410123,3019,8180,32,12.5,339,18.3,16.4,23.1,49,10.07414146,12.99788513,8.405141463,4.523561956
Sunshine-Albion,5648,205409873,3020,40552,36,10.2,376,19.6,17.8,23.3,220,12.46352437,15.30748545,8.554588852,7.339850003
St Albans+East-Kealba-Kings Park,4274,205409734,3021,51783,35,10.8,361,20.1,18.5,19.2,122,12.06137119,15.66019093,8.495855027,6.426264755
Ardeer,577,205410294,3022,2823,37,10.1,416,21.5,15.7,15.7,1,9.172427509,11.46301341,8.700439718,0
Deer Park,4232,205409916,3023,55703,31,6.8,605,27.7,19.7,16.2,310,12.04712391,15.76546741,9.240791332,7.044394119
Wyndham vale-Mambourin-Mount Cottrell,1024,205408326,3024,17996,30,6.3,652,30.7,20.8,14.3,183,10,14.13538865,9.348728154,7.257387843
Altona North-Brooklyn,1112,205409706,3025,11379,39,7.1,393,20.8,17.4,15,43,10.11894107,13.47408616,8.618385502,4.087462841
Laverton North,516,205409669,3026,91,52,8.6,450,0,0,0,10,9.011227255,6.50779464,8.813781191,2
Laverton-Altona Meadows,1962,205409833,3028,27781,36,6.8,517,23.7,21.1,21.3,102,10.93810933,14.76181091,9.01402047,6.189824559
Hoppers Crossing,5317,205408583,3029,68426,31,6.5,618,27.5,22,16.9,346,12.37639675,16.06225699,9.271463028,7.857980995
Flemington-Newmarket,2006,205410236,3031,17245,32,6.1,762,16.4,11.1,35.4,299,10.97010589,14.07389051,9.573647187,7.6794801
Ascot Vale-Maribyrnong,3108,205410051,3032,25343,33,5.9,709,19.5,14.5,31.8,380,11.60177079,14.62929969,9.469641817,8.005624549
Keilor East,631,205409865,3033,13259,42,4.5,508,25.5,22.2,19.1,88,9.301496195,13.69468435,8.988684687,5.857980995
Avondale Heights,410,205410060,3034,10989,43,4.8,440,24.4,21.3,23.3,86,8.6794801,13.42377249,8.781359714,5.977279923
Keilor,259,205409845,3036,5843,43,4,644,25.1,25.6,20.8,26,8.016808288,12.51249357,9.330916878,3
Delahey-Hillside,2422,205409937,3037,46878,31,5.6,603,31.3,23.6,15.8,251,11.24198315,15.5166234,9.236014192,7.044394119
Keilor Downs-Taylors Lakes,1787,205409967,3038,28158,38,5.1,525,25.3,26.6,22.1,129,10.80332392,14.78125725,9.036173613,5.727920455
Moonee Ponds,1157,205410122,3039,13531,37,3.7,763,24.5,18.6,28,110,10.17617315,13.72398084,9.575539247,5.977279923
Essendon,1314,205410024,3040,23868,38,4.1,719,24.7,22.4,26.1,280,10.35974956,14.54279006,9.48984796,7.894817763
Essendon North-Strathmore,560,205410059,3041,11330,39,4,680,28.7,24.5,20.5,73,9.129283017,13.46786024,9.409390936,4.906890596
Niddrie-Airport West,1301,205410084,3042,14372,40,4,555,26.4,21.5,20.1,119,10.34540525,13.81097322,9.116343961,5.614709844
Tullamarine-Gladstone Park,1545,205409969,3043,17350,39,5.2,542,24.7,22,19.8,170,10.59339112,14.08264804,9.082149041,6.794415866
Pascoe Vale+South-Coburg North,1234,205410091,3044,24420,37,4.8,585,26.6,19.1,23,170,10.26912668,14.57577558,9.192292814,7.238404739
Melbourne Airport,514,205409285,3045,142,null,null,null,null,null,null,254,9.005624549,7.14974712,#VALUE!,7.087462841
Glenroy,2300,205409903,3046,30802,36,6.3,451,21,18.5,20.6,79,11.16741815,14.91073641,8.816983623,5.64385619
Broadmeadows-Dallas,3603,205409926,3047,19001,32,13.5,324,21,17.7,16.4,170,11.81498294,14.21378773,8.339850003,7.055282436
Coolaroo-Meadow Heights,1364,205410098,3048,18107,30,12,319,25.3,24,16.5,14,10.41362793,14.14425992,8.317412614,3.169925001
Westmeadows-Attwood,411,205410086,3049,8785,38,4.9,595,26,24.9,19.3,64,8.682994584,13.10082657,9.216745858,4.754887502
North Melbourne,1627,205410266,3051,11755,29,9.1,613,8.7,8.6,48.4,221,10.66799854,13.52098692,9.259743264,7.108524457
Parkville,783,205410145,3052,4673,29,8.8,533,6.4,6.5,63.8,339,9.612868497,12.19013332,9.057991723,7.672425342
Carlton South,1616,205410314,3053,13509,25,13.8,366,3.7,3.7,66.8,453,10.65821148,13.72163326,8.515699838,7.924812504
Carlton North,509,205410302,3054,8296,32,4.6,840,13.3,9.8,51.8,153,8.991521846,13.01820018,9.714245518,6.50779464
Brunswick West,581,205410211,3055,13149,34,6,651,16.6,11.6,41.3,242,9.182394353,13.68266546,9.346513733,7.491853096
Brunswick,2248,205410088,3056,22764,33,5.9,685,12,9.3,47.9,513,11.13442632,14.47446646,9.419960178,8.335390355
Brunswick East,589,205410278,3057,8476,33,5.5,741,15.7,9.2,46.2,119,9.202123824,13.04916787,9.533329732,5.832890014
Coburg+East-Moreland,3148,205409989,3058,31550,36,5.9,530,20.9,14,30.7,175,11.62021983,14.94535238,9.049848549,6.442943496
Greenvale,475,205409173,3059,11969,36,4.1,549,28.9,31.2,20.4,39,8.891783703,13.547015,9.100662339,4.857980995
Fawkner,1012,205410064,3060,12596,37,7.7,362,24.3,19.4,17.6,226,9.982993575,13.62067804,8.499845887,7.672425342
Campbellfield,1232,205409758,3061,5467,34,11.5,310,21.5,20.8,15.1,12,10.26678654,12.41653366,8.276124405,3.169925001
Somerton,162,205410062,3062,null,null,null,null,null,null,null,9,7.339850003,#VALUE!,#VALUE!,3
Oaklands Junction-Yuroke,19,205409045,3063,679,40,5.8,565,30.1,24.2,18.3,0,4.247927513,9.407267764,9.142107057,#NUM!
Craigieburn-Donnybrook-Kalkallo,3776,205408611,3064,53174,29,7,528,30.4,24,16.7,218,11.88264305,15.69843338,9.044394119,7.076815597
Fitzroy,2165,205410337,3065,9430,33,6.2,788,10.3,7.4,36.7,434,11.08015131,13.20304206,9.622051819,7.761551232
Collingwood,1458,205410341,3066,6467,32,6.8,743,9.6,7.1,33.9,236,10.509775,12.6588809,9.537218401,7.06608919
Abbotsford,850,205410311,3067,4907,35,4.6,858,11.5,8.3,34.9,293,9.731319031,12.26062556,9.744833837,7.672425342
Clifton Hill,1360,205410260,3068,17267,35,4.1,879,18.8,12.3,39,434,10.40939094,14.07572983,9.779719355,8.22881869
Northcote,1684,205410030,3070,22920,36,4.4,736,22.9,14.4,33.9,205,10.71767642,14.48431942,9.523561956,6.727920455
Thornbury,1191,205410074,3071,17435,36,5,640,20.5,11.7,33.6,132,10.2179577,14.08969874,9.321928095,5.906890596
Preston+East,4406,205409793,3072,29925,36,6.8,518,19.5,14.1,28.9,319,12.10525378,14.86906363,9.016808288,7.6794801
Reservoir-Keon Park,3403,205409547,3073,47637,38,7,434,20.2,16.3,25.3,167,11.73259144,15.53979494,8.761551232,6.87036472
Thomastown,2067,205409684,3074,20331,38,8.3,360,21.6,20.6,19.3,97,11.01332267,14.31139356,8.491853096,6.266786541
Lalor,1412,205409883,3075,19874,38,8.5,361,23.9,21.8,17.9,29,10.46352437,14.27859465,8.495855027,3.807354922
Epping,2726,205409090,3076,26346,32,5.8,542,26.3,22.6,18.9,58,11.41256985,14.68529632,9.082149041,5.087462841
Fairfield-Alphington,632,205410189,3078,10549,36,4.1,743,24.2,18,30.7,107,9.303780748,13.36481862,9.537218401,5.807354922
Ivanhoe,666,205410081,3079,14848,39,4.2,748,26.3,23,27.3,113,9.379378367,13.857981,9.54689446,6.554588852
Heidelberg West-Heights,1481,205410209,3081,13445,35,7.6,452,19.6,15.8,26.8,75,10.53235593,13.71478213,8.820178962,5.906890596
Mill Park-Blossom Park,1760,205409743,3082,30518,35,5.4,538,26,25.4,21.7,50,10.78135971,14.8973728,9.071462363,5.129283017
Bundoora-Kingsbury,1708,205409609,3083,28071,36,6.5,473,19.6,16.5,35.9,147,10.73809226,14.77679284,8.885696373,6.339850003
Heidelberg-Rosanna-Banyule-Eaglemont,1895,205410105,3084,24272,40,4,672,26.6,22.3,26,137,10.88798213,14.56700537,9.392317423,6.247927513
Macleod-Yallambie,536,205410110,3085,13737,37,4.2,658,25.7,19.2,27.6,56,9.06608919,13.74577935,9.361943774,4.247927513
Watsonia,509,205410274,3087,8984,38,3.8,589,28,22.9,20.3,97,8.991521846,13.13314221,9.202123824,5.129283017
Greensborough-Briar Hill,1417,205409848,3088,26465,38,3.7,646,28.2,24,23.5,124,10.46862404,14.69179803,9.335390355,6.247927513
Diamond Creek,476,205409582,3089,11504,36,3.4,691,30,28,20.4,44,8.894817763,13.48984796,9.4325419,3.700439718
Plenty,59,205409816,3090,2093,38,2.8,696,35.2,28.4,17.6,5,5.882643049,11.0313566,9.442943496,2
Yarrambat,37,205409667,3091,1510,42,3.2,667,29.2,30.6,16.7,5,5.209453366,10.56033283,9.381542951,2
Lower Plenty,104,205409993,3093,3782,42,3.2,724,26.7,24.1,24.2,4,6.700439718,11.88493365,9.499845887,2
Montmorency,283,205410162,3094,8759,39,3.5,678,28.9,21.8,24.5,28,8.144658243,13.09655045,9.405141463,4.392317423
Eltham-Research,796,205409633,3095,27642,39,3.6,716,28.1,27.5,23,110,9.636624621,14.75457438,9.483815777,3.807354922
Wattle Glen,47,205409897,3096,1946,39,3.8,624,30.4,30.9,19.9,4,5.554588852,10.92629599,9.285402219,1
Kangaroo Ground-Watsons Creek,33,205409125,3097,1295,42,3.6,682,33,23.9,16.1,1,5.044394119,10.33873638,9.413627929,0
Hurstbridge-Arthurs Creek,210,205409018,3099,4878,39,3.6,661,30,26.9,21.8,17,7.714245518,12.25207404,9.368506462,4.087462841
Kew+North-Studley Park,956,205409835,3101,23876,39,4.1,841,21.6,22.7,28.9,101,9.900866808,14.54327354,9.71596199,5.882643049
Kew East,188,205410149,3102,6017,39,3.9,758,29.7,22.1,25.8,29,7.554588852,12.55482864,9.566054038,3.169925001
Balwyn-Deepdene,502,205410069,3103,15323,42,4.8,650,22.9,28.4,27.9,78,8.971543554,13.90341116,9.344295908,5.64385619
Balwyn North-Greythorn,511,205409895,3104,20317,41,5,629,25.9,29.8,25.9,39,8.997179481,14.31039977,9.296916207,4.807354922
Bulleen,364,205410009,3105,10868,43,4,510,24.9,22,24.7,71,8.50779464,13.40779885,8.994353437,5.044394119
Templestowe,488,205409645,3106,16484,43,4.5,615,25.3,26.4,26.7,40,8.930737338,14.00877875,9.2644426,5.129283017
Templestowe Lower,493,205410034,3107,13152,44,4.6,571,25.1,20.6,23.4,74,8.945443836,13.68299458,9.157346935,4.087462841
Doncaster,1465,205409907,3108,18360,44,5.7,525,22.1,21.2,29.6,91,10.51668495,14.16427844,9.036173613,6.108524457
Doncaster East,750,205409820,3109,27047,41,5.6,533,24.1,26.1,26.4,254,9.550746785,14.72318096,9.057991723,7.74819285
Donvale,201,205409786,3111,11794,42,4,631,28.8,26,22.1,27,7.651051691,13.52576548,9.301496195,3.906890596
Warrandyte,113,205409597,3113,8476,40,3.7,718,32,26.6,22.9,149,6.820178962,13.04916787,9.487840034,6.209453366
Park Orchards,82,205409878,3114,3718,41,3.4,720,31.4,29.2,20,26,6.357552005,11.86031105,9.491853096,4.169925001
Wonga Park,66,205409407,3115,3833,40,3.1,725,29.4,30.9,20.8,9,6.044394119,11.90425828,9.501837185,3.169925001
Chirnside Park,472,205409445,3116,9125,40,3.4,587,29.3,25.3,19.2,21,8.882643049,13.15560884,9.197216693,4
Richmond-Burnley,3933,205410117,3121,26121,33,4.3,927,14,10,37.7,819,11.94141447,14.67292251,9.856425529,8.845490051
Hawthorn-Glenferrie,1540,205410035,3122,21177,31,5.3,830,15.4,14.5,45.4,543,10.58871464,14.37021061,9.696967526,8.495855027
Hawthorn East-Auburn,414,205410190,3123,13102,33,4.3,862,20.5,16.2,33.9,386,8.693486957,13.67749943,9.751544059,8.169925001
Camberwell-Hartwell,1019,205409959,3124,20029,41,4,792,27,25.4,27.9,137,9.992938336,14.28980277,9.62935662,6.247927513
Burwood-Bennettswood,594,205410028,3125,13162,34,8.3,411,16.4,14.1,49.6,136,9.214319121,13.68409111,8.682994584,6.658211483
Canterbury,245,205410215,3126,7857,44,3.2,805,25.2,28.6,28,23,7.936637939,12.93976285,9.652844973,4.247927513
Surrey Hills-Chatham-Mont Albert,569,205410317,3127,18089,39,4.5,769,26.7,23.3,29.4,105,9.152284842,14.14282503,9.586839788,6.339850003
Box Hill+South-Wattle Park,1593,205410187,3128,17370,34,7,499,16.9,14.9,39.1,93,10.63753055,14.08431013,8.962896005,5.857980995
Box Hill North-Mont Albert North,374,205410156,3129,16062,38,5.7,577,25.4,21.1,29.6,25,8.54689446,13.97136392,9.172427509,3.906890596
Blackburn+North+South-Laburnum,1002,205410036,3130,30409,40,4.3,591,26.7,21,23.3,233,9.968666793,14.89221075,9.20701432,6.87036472
Nunawading-Forest Hill,1002,205410082,3131,21001,39,4.8,563,27.3,19.3,24.2,124,9.968666793,14.35817041,9.136991112,6.375039431
Mitcham-Heatherdale-Rangeview,649,205410000,3132,14811,38,4.5,651,27.9,19.9,25.1,143,9.342074668,13.85438143,9.346513733,4.754887502
Vermont+South,527,205410022,3133,21316,42,4.2,578,27.6,25.2,24.3,37,9.041659152,14.37964912,9.174925683,4.459431619
Ringwood+North-Warranwood,3116,205409851,3134,31100,38,4.3,618,28.8,24,23,169,11.60547952,14.92462696,9.271463028,6.672425342
Ringwood East-Heathmont,739,205410103,3135,19003,39,4.2,620,26.8,22.4,22.9,27,9.529430554,14.21393957,9.276124405,4.247927513
Croydon+South+North-Croydon Hills,1679,205409710,3136,40964,38,4.4,597,27.5,23.9,21.9,162,10.71338651,15.32206898,9.221587121,6.087462841
Kilsyth+South,716,205409877,3137,13096,38,4.1,578,29.1,24.7,18.5,49,9.483815777,13.67683861,9.174925683,4
Mooroolbark,940,205409730,3138,20689,35,3.9,595,28.1,25.5,20.4,85,9.876516947,14.33657629,9.216745858,5.672425342
Wandin+East+North-Seville,362,205408808,3139,13545,37,3.6,565,30.9,25.4,15.7,22,8.499845887,13.72547277,9.142107057,4
Lilydale-Brookfield,1259,205409221,3140,15649,37,3.9,591,29.8,25.6,19.7,64,10.29806257,13.93378285,9.20701432,4.169925001
South Yarra,1859,205410181,3141,19134,33,4.5,1024,9.2,10.5,38.4,478,10.86031105,14.22385088,10,8.038918989
Toorak,708,205410128,3142,12871,43,4.1,1031,16.6,18.5,29.9,141,9.46760555,13.65183653,10.00982862,6.569855608
Armadale,383,205410284,3143,8760,36,4.1,953,19.6,13.8,31.3,164,8.581200582,13.09671515,9.896332404,5.169925001
Malvern-Kooyong,846,205410234,3144,10306,39,4.2,919,26.5,19.7,27.7,126,9.724513853,13.33119688,9.843921051,6.129283017
Malvern East-Darling-Caulfield,1612,205409960,3145,21301,36,5.2,699,24.1,18.1,35.2,258,10.65463603,14.37863354,9.449148645,7
Glen Iris-Gardiner-Tooronga,644,205409942,3146,24948,37,4.2,837,27,20.9,27.5,82,9.330916878,14.60663654,9.709083813,5.554588852
Ashburton-Alamein-Ashwood,597,205410231,3147,13647,38,5.6,609,27.1,20.6,27.9,62,9.221587121,13.73629622,9.250298418,5.523561956
Holmesglen-Chadstone-Jordanville,727,205410219,3148,7821,33,6.4,509,14.6,14.6,40.2,12,9.505811554,12.93313737,8.991521846,3.169925001
Mount Waverley-Pinewood-Syndal,1516,205409674,3149,32077,41,5.3,567,24.7,23.8,30.7,138,10.56605404,14.9692516,9.147204925,6.321928095
Glen Waverley-Wheelers Hill,1807,205409628,3150,58305,42,5.5,540,23.3,25.6,28.6,505,10.81938079,15.83133199,9.076815597,8.839203788
Burwood East,324,205410131,3151,10141,40,6.1,459,18.9,18.2,39.2,35,8.339850003,13.3079123,8.842350343,4.247927513
Wantirna+South-Studfield,1868,205409720,3152,31237,41,4.5,574,25.2,26.9,27.2,220,10.86727874,14.93096828,9.164906927,7.14974712
Bayswater+North,1615,205409951,3153,19658,36,5,594,27,20.4,21.6,104,10.65731845,14.26282893,9.214319121,6.539158811
The Basin,161,205410075,3154,4229,37,4.1,649,30.8,22,18.4,9,7.330916878,12.04610085,9.342074668,2.807354922
Boronia,1574,205409801,3155,20825,39,4.7,588,26.3,21,21.8,106,10.62021983,14.34602888,9.199672345,6.087462841
Ferntree Gully+Upper-Lysterfield,1815,205409160,3156,35655,38,4.3,603,29.1,26.4,19.9,339,10.82575383,15.12181678,9.236014192,8.247927513
Upwey,325,205410019,3158,6964,37,4.7,640,26.2,26.9,22.4,24,8.344295908,12.76570049,9.321928095,4.459431619
Menzies Creek-Selby,65,205409965,3159,2573,38,3.8,652,29,25.3,22.1,9,6.022367813,11.32923574,9.348728154,2.321928095
Belgrave+South+Heights-Tecoma,471,205409749,3160,9094,37,4.5,622,27.7,24.4,20.1,110,8.87958325,13.15069929,9.28077077,5.727920455
Caulfield North-Crimea,552,205410138,3161,14555,37,4.3,822,20.4,17.9,30.6,182,9.108524457,13.82922722,9.682994584,7.044394119
Caulfield South,909,205410204,3162,16435,40,4.4,707,24.1,20.2,24.7,70,9.828136484,14.00448384,9.465566405,3.700439718
Carnegie-Murrumbeena-Glenhuntly,999,205410167,3163,29553,34,5.2,664,20.4,14.5,36,280,9.964340868,14.85101697,9.375039431,7.330916878
Bentleigh East,654,205409899,3165,25924,40,4.5,595,29.6,23.1,20.9,172,9.353146825,14.66200072,9.216745858,7.257387843
Oakleigh-Oakleigh East-Huntingdale,1433,205410192,3166,22341,35,5.7,557,22.1,16.2,34.4,270,10.48482289,14.44740614,9.121533517,6.614709844
Oakleigh South,376,205409999,3167,9140,39,5.6,499,22.3,21.7,25.5,57,8.554588852,13.15797845,8.962896005,5.087462841
Clayton-Clayton North-Notting Hill,1487,205409950,3168,16892,28,12.3,357,8.9,6.3,62,111,10.53818893,14.04405253,8.479780264,6.392317423
Clayton South-Clarinda-Westall,754,205409928,3169,19089,36,7.2,414,19.3,18.6,29.1,176,9.558420713,14.22045391,8.693486957,7.033423002
Mulgrave-Brandon Park,823,205409825,3170,17647,39,4.9,543,23.6,21.3,26.5,106,9.68474862,14.10713532,9.084808388,6.247927513
Springvale,1732,205409812,3171,19771,34,10.5,352,19.1,19,25.8,84,10.75822321,14.27109822,8.459431619,5.044394119
Springvale South,737,205409949,3172,22369,38,6.1,482,25.5,25.5,21.2,83,9.525520809,14.44921314,8.912889336,5.832890014
Keysborough,1205,205409442,3173,19885,37,6,481,24.7,24.3,20,69,10.23481743,14.27939294,8.909893084,5.930737338
Noble Park,2312,205409917,3174,35768,35,9.1,412,21.5,18.7,22.8,193,11.17492568,15.12638183,8.686500527,6.906890596
Dandenong-Bangholme,7919,205409391,3175,47993,35,9.4,393,19.8,19,20.8,383,12.95110255,15.55053638,8.618385502,8.409390936
Doveton,936,205410141,3177,10255,35,10.6,370,21.5,18.6,15.9,13,9.87036472,13.32403987,8.531381461,3
Rowville,1165,205409438,3178,34777,36,4.4,634,30.1,29.1,20.3,100,10.18611424,15.08584587,9.30833903,5.906890596
